,date,fiz_long,fiz_short,yur_long,yur_short,oi
364,2020-01-21,209916,137114,539399,612201,1498630
365,2020-01-28,355758,107337,515679,764100,1742874
366,2020-02-04,651074,96282,54368,609160,1410884
367,2020-02-11,612255,140554,104589,576290,1433688
368,2020-02-18,457992,211766,116223,362449,1148430
369,2020-02-25,489387,133905,109360,464842,1197494
370,2020-03-03,359017,127987,134861,365891,987756
371,2020-03-10,218044,85477,383394,515961,1202876
372,2020-03-17,244128,104718,128878,268288,746012
373,2020-03-24,272545,166477,137216,243284,819522
374,2020-03-31,345448,158233,135716,322931,962328
375,2020-04-07,1471577,134410,134863,1472030,3212880
376,2020-04-14,2466695,120868,269495,2615322,5472380
377,2020-04-21,335448,150177,695505,880776,2061906
378,2020-04-28,292656,165190,512608,640074,1610528
379,2020-05-05,171864,160243,211098,222719,765924
380,2020-05-12,214991,90937,60050,184104,550082
381,2020-05-19,670284,177354,56848,549778,1454264
382,2020-05-26,814115,150510,53830,717435,1735890
383,2020-06-02,395108,167368,17763,245503,825742
384,2020-06-09,766702,172970,32074,625806,1597552
385,2020-06-16,837686,212545,31131,656272,1737634
386,2020-06-23,909437,271476,34219,672180,1887312
387,2020-06-30,864819,204277,78785,739327,1887208
388,2020-07-07,842542,200772,21086,662856,1727256
389,2020-07-14,829699,230536,67543,666706,1794484
390,2020-07-21,831859,297718,84096,618237,1831910
391,2020-07-28,887645,189420,56333,754558,1887956
392,2020-08-04,872587,190974,18124,699737,1781422
393,2020-08-11,871880,235489,21262,657653,1786284
394,2020-08-18,855719,172878,32845,715686,1777128
395,2020-08-25,868879,255563,69194,682510,1876146
396,2020-09-01,462892,189111,9151,282932,944086
397,2020-09-08,1021050,71836,27782,976996,2097664
398,2020-09-15,957808,99648,48313,906473,2012242
399,2020-09-22,858019,131848,38052,764223,1792142
400,2020-09-29,842524,90939,61056,812641,1807160
401,2020-10-06,572744,220308,37179,389615,1219846
402,2020-10-13,681103,199584,52776,534295,1467758
403,2020-10-20,737181,155075,47610,629716,1569582
404,2020-10-27,656075,145435,83450,594090,1479050
405,2020-11-03,478701,159465,44990,364226,1047382
406,2020-11-10,383705,230319,43985,197371,855380
407,2020-11-17,452073,172034,28543,308582,961232
408,2020-11-24,407381,345948,102198,163631,1019158
409,2020-12-01,498273,199794,18625,317104,1033796
410,2020-12-08,501209,214329,20291,307171,1043000
411,2020-12-15,479863,269247,30808,241424,1021342
412,2020-12-22,471140,245529,31421,257032,1005122
413,2020-12-29,457779,213131,75278,319926,1066114
414,2021-01-05,79191,158383,117602,38410,393586
415,2021-01-12,489421,206183,19612,302850,1018066
416,2021-01-19,536004,204048,39381,371337,1150770
417,2021-01-26,499786,220857,86203,365132,1171978
418,2021-02-02,91873,264546,267729,95056,719204
419,2021-02-09,539142,288624,13530,264048,1105344
420,2021-02-16,307035,295432,141570,153173,897210
421,2021-03-02,516090,143535,8198,380753,1048576
422,2021-03-09,524850,190976,27940,361814,1105580
423,2021-03-16,527409,195159,38220,370470,1131258
424,2021-03-23,630371,110542,61906,581735,1384554
425,2021-03-30,613480,152880,286116,746716,1799192
426,2021-04-06,594129,150102,24964,468991,1238186
427,2021-04-13,573050,153567,31176,450659,1208452
428,2021-04-20,558376,195763,50421,413034,1217594
429,2021-04-27,557939,183222,240081,614798,1596040
